name,ticker,market,sector
Olympic Accessories Ltd,OAL,DSEBD,Producer manufacturing
Oimex Electrode Ltd.,OIMEX,DSEBD,Producer manufacturing
Olympic Industries PLC.,OLYMPIC,DSEBD,Consumer non-durables
One Bank PLC,ONEBANKPLC,DSEBD,Finance
Orion Infusion Ltd.,ORIONINFU,DSEBD,Health technology
Orion Pharma Ltd.,ORIONPHARM,DSEBD,Health technology
Padma Islami Life Insurance Ltd.,PADMALIFE,DSEBD,Finance
Padma Oil PLC,PADMAOIL,DSEBD,Distribution services
Paramount Insurance PLC.,PARAMOUNT,DSEBD,Finance
Pacific Denims Ltd.,PDL,DSEBD,Process industries
The Peninsula Chittagong PLC,PENINSULA,DSEBD,Consumer services
Peoples Insurance Company Limited,PEOPLESINS,DSEBD,Finance
Pharma Aids Limited.,PHARMAID,DSEBD,Process industries
Phoenix Insurance Co. Ltd.,PHENIXINS,DSEBD,Finance
Phoenix Finance and Investments Ltd.,PHOENIXFIN,DSEBD,Finance
Pioneer Insurance Co Ltd,PIONEERINS,DSEBD,Finance
Peoples Leasing and Financial Services Ltd.,PLFSL,DSEBD,Finance
Popular Life Insurance Co. Ltd.,POPULARLIF,DSEBD,Finance
Power Grid Co. of Bangladesh Ltd.,POWERGRID,DSEBD,Utilities
Pragati Insurance Limited,PRAGATIINS,DSEBD,Finance
Pragati Life Insurance PLC,PRAGATILIF,DSEBD,Finance
The Premier Bank PLC,PREMIERBAN,DSEBD,Finance
Premier Cement Mills PLC,PREMIERCEM,DSEBD,Non-energy minerals
Premier Leasing & Finance Limited,PREMIERLEA,DSEBD,Finance
Prime Bank PLC,PRIMEBANK,DSEBD,Finance
Prime Finance and Investment Ltd.,PRIMEFIN,DSEBD,Finance
Prime Insurance Company Limited,PRIMEINSUR,DSEBD,Finance
Prime Life Insurance Company Limited,PRIMELIFE,DSEBD,Finance
Prime Textile Spining Mills Ltd.,PRIMETEX,DSEBD,Process industries
Progressive Life Insurance Co. Ltd.,PROGRESLIF,DSEBD,Finance
Provatee Insurance Company Limited,PROVATIINS,DSEBD,Finance
Paramount Textile PLC,PTL,DSEBD,Process industries
Pubali Bank PLC,PUBALIBANK,DSEBD,Finance
Purabi General Insurance Co. Ltd.,PURABIGEN,DSEBD,Finance
Quasem Industries Limited.,QUASEMIND,DSEBD,Producer manufacturing
Queen South Textile Mills Ltd.,QUEENSOUTH,DSEBD,Process industries
Rahima Food Corporation Ltd.,RAHIMAFOOD,DSEBD,Process industries
Rahim Textile Mills Ltd.,RAHIMTEXT,DSEBD,Process industries
RAK Ceramics (Baneladesh) Limited,RAKCERAMIC,DSEBD,Producer manufacturing
Rangpur Foundry Limited,RANFOUNDRY,DSEBD,Electronic technology
Rangpur Dairy and Food Products Limited,RDFOOD,DSEBD,Consumer non-durables
Reckitt Benckiser (Bangladesh) PLC,RECKITTBEN,DSEBD,Consumer non-durables
Regent Textile Mills Ltd.,REGENTTEX,DSEBD,Process industries
Reliance Insurance Ltd.,RELIANCINS,DSEBD,Finance
Renata PLC,RENATA,DSEBD,Health technology
Renwick Janeswar and Co. (BD) Limited,RENWICKJA,DSEBD,Process industries
Republic Insurance Co. Limited,REPUBLIC,DSEBD,Finance
Ring Shine Textiles Ltd.,RINGSHINE,DSEBD,Process industries
Robi Axiata PLc,ROBI,DSEBD,Communications
Ratanpur Steel Re-Rolling Mills Ltd,RSRMSTEEL,DSEBD,Producer manufacturing
Runner Automobiles PLC,RUNNERAUTO,DSEBD,Consumer durables
Rupali Bank PLC,RUPALIBANK,DSEBD,Finance
Rupali Insurance Company Ltd.,RUPALIINS,DSEBD,Finance
Rupali Life Insurance Co. Ltd.,RUPALILIFE,DSEBD,Finance
Safko Spinning Mills Limited,SAFKOSPINN,DSEBD,Process industries
SAIF Powertec Ltd.,SAIFPOWER,DSEBD,Producer manufacturing
Saiham Cotton Mills Ltd.,SAIHAMCOT,DSEBD,Process industries
Saiham Textile Mills Ltd.,SAIHAMTEX,DSEBD,Process industries
S. Alam Cold Rolled Steels Limited,SALAMCRST,DSEBD,Non-energy minerals
Salvo Chemical Industry Ltd.,SALVOCHEM,DSEBD,Process industries
Samata Leather Complex (Pvt.) Ltd.,SAMATALETH,DSEBD,Process industries
Samorita Hospital Ltd.,SAMORITA,DSEBD,Health services
Shandhani Life Insurance Co.Ltd,SANDHANINS,DSEBD,Finance
Summit Alliance Port Limited,SAPORTL,DSEBD,Transportation
SBAC Bank PLC.,SBACBANK,DSEBD,Finance
Sea Pearl Beach Resort & Spa Ltd.,SEAPEARL,DSEBD,Consumer services
